,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
0,2014,5,Arena do Grêmio,19328,60540,Sandro Ricci,Grêmio,1,Fluminense,0,,,,,,
1,2014,9,Estádio Alfredo Jaconi,15136,23000,Jailson Macedo Freitas,Grêmio,0,Palmeiras,0,,,,,,
2,2014,10,Arena do Grêmio,24449,60540,Luiz Flávio de Oliveira,Grêmio,0,Goiás EC,0,,,,,,
3,2014,12,Arena do Grêmio,19944,60540,Ricardo Marques Ribeiro,Grêmio,2,Coritiba FC,3,,,,,,
4,2014,17,Arena do Grêmio,30117,60540,Héber Lopes,Grêmio,2,Corinthians,1,,,,,,
5,2014,18,Arena do Grêmio,12607,60540,Péricles Bassols Pegado Cortez,Grêmio,1,EC Bahia,0,,,,,,
6,2014,20,Arena do Grêmio,11584,60540,Marcelo de Lima Henrique,Grêmio,1,Atlético-PR,0,,,,,,
7,2014,22,Arena do Grêmio,18834,60540,Ricardo Marques Ribeiro,Grêmio,0,Santos FC,0,,,,,,
8,2014,26,Arena do Grêmio,43653,60540,Felipe Gomes da Silva,Grêmio,0,São Paulo,1,,,,,,
9,2014,38,Arena do Grêmio,13713,60540,Luiz Flávio de Oliveira,Grêmio,1,Flamengo,1,,,,,,
10,2014,2,Estádio Jornalista Mário Filho,9995,82238,Jailson Macedo Freitas,Botafogo,2,Internacional,2,,,,,,
11,2014,15,Estádio Nacional de Brasília Mané Garrincha,29185,46931,Marcelo Aparecido Ribeiro de Souza,Botafogo,2,Fluminense,0,,,,,,
12,2014,18,Estádio Jornalista Mário Filho,14285,46931,Rodrigo D,Botafogo,1,Santos FC,0,,,,,,
13,2014,24,Estádio Jornalista Mário Filho,7056,46931,Leandro Pedro Vuaden,Botafogo,1,Goiás EC,0,,,,,,
14,2014,25,Estádio Jornalista Mário Filho,12498,46931,Elmo Alves Resende Cunha,Botafogo,0,Grêmio,2,,,,,,
15,2014,27,Estádio Jornalista Mário Filho,10200,46931,Fabrício Neves Corrêa,Botafogo,0,Palmeiras,1,,,,,,
16,2014,29,Estádio General Sílvio Raulino de Oliveira,3059,46931,Ricardo Marques Ribeiro,Botafogo,1,Sport Recife,1,,,,,,
17,2014,33,Estádio General Sílvio Raulino de Oliveira,3187,46931,Ricardo Marques Ribeiro,Botafogo,0,Atlético-PR,2,,,,,,
18,2014,35,Estádio São Januário,8250,15000,Anderson Daronco,Botafogo,0,Figueirense FC,1,,,,,,
19,2014,38,Estádio Nacional de Brasília Mané Garrincha,3694,46931,Manuel Lopo Garrido,Botafogo,0,Atlético-MG,0,,,,,,
20,2014,2,Estádio Olímpico Nilton Santos,17530,46931,Wagner do Nascimento Magalhães,Cruzeiro,1,São Paulo,1,,,,,,
21,2014,6,Estádio Governador Magalhães Pinto,13679,57483,Felipe Gomes da Silva,Cruzeiro,2,Sport Recife,0,,,,,,
22,2014,10,Estádio Governador Magalhães Pinto,24156,57483,Péricles Bassols Pegado Cortez,Cruzeiro,3,EC Vitória,1,,,,,,
23,2014,16,Estádio Governador Magalhães Pinto,32294,57483,Flávio Rodrigues Guerra,Cruzeiro,1,Grêmio,0,,,,,,
24,2014,18,Estádio Governador Magalhães Pinto,26682,57483,Dewson Fernando Freitas da Silva,Cruzeiro,4,Chapecoense,2,,,,,,
25,2014,20,Estádio Governador Magalhães Pinto,20861,57483,Marcos Mateus Pereira,Cruzeiro,2,EC Bahia,1,,,,,,
26,2014,27,Estádio Governador Magalhães Pinto,32958,57483,Leandro Pedro Vuaden,Cruzeiro,0,Corinthians,1,,,,,,
27,2014,30,Estádio Governador Magalhães Pinto,26944,57483,Péricles Bassols Pegado Cortez,Cruzeiro,1,Palmeiras,1,,,,,,
28,2014,33,Estádio Governador Magalhães Pinto,28475,57483,Marcos André Gomes da Penha,Cruzeiro,3,Criciúma EC,1,,,,,,
29,2014,1,Arena Fonte Nova,9348,55000,Luiz Flávio de Oliveira,EC Bahia,1,Cruzeiro,2,,,,,,
30,2014,3,Arena Fonte Nova,16040,,Raphael Claus,EC Bahia,1,Botafogo,0,,,,,,
31,2014,4,Arena Fonte Nova,21352,,Wilton Sampaio,EC Bahia,1,EC Vitória,1,,,,,,
32,2014,7,Arena Barueri,1345,32000,Ricardo Marques Ribeiro,EC Bahia,0,Fluminense,1,,,,,,
33,2014,8,Arena Fonte Nova,16089,55000,Wagner Reway,EC Bahia,0,Santos FC,2,,,,,,
34,2014,10,Arena Fonte Nova,17482,55000,Dewson Fernando Freitas da Silva,EC Bahia,0,São Paulo,2,,,,,,
35,2014,12,Arena Fonte Nova,5221,55000,Héber Lopes,EC Bahia,0,Internacional,1,,,,,,
36,2014,16,Arena Fonte Nova,9926,55000,Pablo dos Santos Alves,EC Bahia,0,Criciúma EC,0,,,,,,
37,2014,19,Arena Fonte Nova,0,55000,Franscisco Carlos do Nascimento,EC Bahia,0,Coritiba FC,0,,,,,,
38,2014,24,Arena Fonte Nova,13360,55000,Flávio Rodrigues Guerra,EC Bahia,1,Sport Recife,0,,,,,,
39,2014,28,Arena Fonte Nova,22162,55000,Flavio Rodrigues de Souza,EC Bahia,0,Chapecoense,1,,,,,,
40,2014,30,Arena Fonte Nova,5961,55000,Elmo Alves Resende Cunha,EC Bahia,1,Atlético-MG,1,,,,,,
