,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
0,2014,5,Arena do Grêmio,19328.0,60540.0,Sandro Ricci,Grêmio,1.0,Fluminense,0.0,,,,,,
1,2014,9,Estádio Alfredo Jaconi,15136.0,23000.0,Jailson Macedo Freitas,Grêmio,0.0,Palmeiras,0.0,,,,,,
2,2014,10,Arena do Grêmio,24449.0,60540.0,Luiz Flávio de Oliveira,Grêmio,0.0,Goiás,0.0,,,,,,
3,2014,12,Arena do Grêmio,19944.0,60540.0,Ricardo Marques Ribeiro,Grêmio,2.0,Coritiba,3.0,,,,,,
4,2014,17,Arena do Grêmio,30117.0,60540.0,Héber Lopes,Grêmio,2.0,Corinthians,1.0,,,,,,
5,2014,18,Arena do Grêmio,12607.0,60540.0,Péricles Bassols Pegado Cortez,Grêmio,1.0,Bahia,0.0,,,,,,
6,2014,20,Arena do Grêmio,11584.0,60540.0,Marcelo de Lima Henrique,Grêmio,1.0,Atlético-PR,0.0,,,,,,
7,2014,22,Arena do Grêmio,18834.0,60540.0,Ricardo Marques Ribeiro,Grêmio,0.0,Santos,0.0,,,,,,
8,2014,26,Arena do Grêmio,43653.0,60540.0,Felipe Gomes da Silva,Grêmio,0.0,São Paulo,1.0,,,,,,
9,2014,38,Arena do Grêmio,13713.0,60540.0,Luiz Flávio de Oliveira,Grêmio,1.0,Flamengo,1.0,,,,,,
10,2014,2,Estádio Jornalista Mário Filho,9995.0,82238.0,Jailson Macedo Freitas,Botafogo,2.0,Internacional,2.0,,,,,,
11,2014,15,Estádio Nacional de Brasília Mané Garrincha,29185.0,46931.0,Marcelo Aparecido Ribeiro de Souza,Botafogo,2.0,Fluminense,0.0,,,,,,
12,2014,18,Estádio Jornalista Mário Filho,14285.0,46931.0,Rodrigo D,Botafogo,1.0,Santos,0.0,,,,,,
13,2014,24,Estádio Jornalista Mário Filho,7056.0,46931.0,Leandro Pedro Vuaden,Botafogo,1.0,Goiás,0.0,,,,,,
14,2014,25,Estádio Jornalista Mário Filho,12498.0,46931.0,Elmo Alves Resende Cunha,Botafogo,0.0,Grêmio,2.0,,,,,,
15,2014,27,Estádio Jornalista Mário Filho,10200.0,46931.0,Fabrício Neves Corrêa,Botafogo,0.0,Palmeiras,1.0,,,,,,
16,2014,29,Estádio General Sílvio Raulino de Oliveira,3059.0,46931.0,Ricardo Marques Ribeiro,Botafogo,1.0,Sport Recife,1.0,,,,,,
17,2014,33,Estádio General Sílvio Raulino de Oliveira,3187.0,46931.0,Ricardo Marques Ribeiro,Botafogo,0.0,Atlético-PR,2.0,,,,,,
18,2014,35,Estádio São Januário,8250.0,15000.0,Anderson Daronco,Botafogo,0.0,Figueirense,1.0,,,,,,
19,2014,38,Estádio Nacional de Brasília Mané Garrincha,3694.0,46931.0,Manuel Lopo Garrido,Botafogo,0.0,Atlético-MG,0.0,,,,,,
20,2014,2,Estádio Olímpico Nilton Santos,17530.0,46931.0,Wagner do Nascimento Magalhães,Cruzeiro,1.0,São Paulo,1.0,,,,,,
21,2014,6,Estádio Governador Magalhães Pinto,13679.0,57483.0,Felipe Gomes da Silva,Cruzeiro,2.0,Sport Recife,0.0,,,,,,
22,2014,10,Estádio Governador Magalhães Pinto,24156.0,57483.0,Péricles Bassols Pegado Cortez,Cruzeiro,3.0,Vitória,1.0,,,,,,
23,2014,16,Estádio Governador Magalhães Pinto,32294.0,57483.0,Flávio Rodrigues Guerra,Cruzeiro,1.0,Grêmio,0.0,,,,,,
24,2014,18,Estádio Governador Magalhães Pinto,26682.0,57483.0,Dewson Fernando Freitas da Silva,Cruzeiro,4.0,Chapecoense,2.0,,,,,,
25,2014,20,Estádio Governador Magalhães Pinto,20861.0,57483.0,Marcos Mateus Pereira,Cruzeiro,2.0,Bahia,1.0,,,,,,
26,2014,27,Estádio Governador Magalhães Pinto,32958.0,57483.0,Leandro Pedro Vuaden,Cruzeiro,0.0,Corinthians,1.0,,,,,,
27,2014,30,Estádio Governador Magalhães Pinto,26944.0,57483.0,Péricles Bassols Pegado Cortez,Cruzeiro,1.0,Palmeiras,1.0,,,,,,
28,2014,33,Estádio Governador Magalhães Pinto,28475.0,57483.0,Marcos André Gomes da Penha,Cruzeiro,3.0,Criciúma,1.0,,,,,,
29,2014,1,Arena Fonte Nova,9348.0,55000.0,Luiz Flávio de Oliveira,Bahia,1.0,Cruzeiro,2.0,,,,,,
30,2014,3,Arena Fonte Nova,16040.0,55000.0,Raphael Claus,Bahia,1.0,Botafogo,0.0,,,,,,
31,2014,4,Arena Fonte Nova,21352.0,55000.0,Wilton Sampaio,Bahia,1.0,Vitória,1.0,,,,,,
32,2014,7,Arena Barueri,1345.0,32000.0,Ricardo Marques Ribeiro,Bahia,0.0,Fluminense,1.0,,,,,,
33,2014,8,Arena Fonte Nova,16089.0,55000.0,Wagner Reway,Bahia,0.0,Santos,2.0,,,,,,
34,2014,10,Arena Fonte Nova,17482.0,55000.0,Dewson Fernando Freitas da Silva,Bahia,0.0,São Paulo,2.0,,,,,,
35,2014,12,Arena Fonte Nova,5221.0,55000.0,Héber Lopes,Bahia,0.0,Internacional,1.0,,,,,,
36,2014,16,Arena Fonte Nova,9926.0,55000.0,Pablo dos Santos Alves,Bahia,0.0,Criciúma,0.0,,,,,,
37,2014,19,Arena Fonte Nova,0.0,55000.0,Franscisco Carlos do Nascimento,Bahia,0.0,Coritiba,0.0,,,,,,
38,2014,24,Arena Fonte Nova,13360.0,55000.0,Flávio Rodrigues Guerra,Bahia,1.0,Sport Recife,0.0,,,,,,
39,2014,28,Arena Fonte Nova,22162.0,55000.0,Flavio Rodrigues de Souza,Bahia,0.0,Chapecoense,1.0,,,,,,
40,2014,30,Arena Fonte Nova,5961.0,55000.0,Elmo Alves Resende Cunha,Bahia,1.0,Atlético-MG,1.0,,,,,,
41,2014,32,Arena Fonte Nova,15367.0,55000.0,Leandro Pedro Vuaden,Bahia,0.0,Palmeiras,1.0,,,,,,
42,2014,34,Arena Fonte Nova,11617.0,55000.0,Elmo Alves Resende Cunha,Bahia,1.0,Corinthians,2.0,,,,,,
43,2014,36,Arena Fonte Nova,7742.0,55000.0,André Luiz de Freitas Castro,Bahia,1.0,Atlético-PR,2.0,,,,,,
44,2014,1,Estádio Nacional de Brasília Mané Garrincha,19012.0,71400.0,Anderson Daronco,Flamengo,0.0,Goiás,0.0,,,,,,
45,2014,5,Estádio Jornalista Mário Filho,25118.0,87101.0,Ricardo Marques Ribeiro,Flamengo,0.0,São Paulo,2.0,,,,,,
46,2014,14,Estádio Jornalista Mário Filho,42071.0,87101.0,Emerson de Almeida Ferreira,Flamengo,1.0,Sport Recife,0.0,,,,,,
47,2014,16,Estádio Jornalista Mário Filho,40892.0,87101.0,Sandro Ricci,Flamengo,2.0,Atlético-MG,1.0,,,,,,
48,2014,19,Estádio Jornalista Mário Filho,59680.0,87101.0,André Luiz de Freitas Castro,Flamengo,0.0,Grêmio,1.0,,,,,,
49,2014,21,Estádio Jornalista Mário Filho,36905.0,87101.0,Sandro Ricci,Flamengo,1.0,Corinthians,0.0,,,,,,
50,2014,26,Estádio Jornalista Mário Filho,37204.0,87101.0,Marielson Alves Silva,Flamengo,0.0,Santos,1.0,,,,,,
51,2014,30,Estádio Jornalista Mário Filho,21855.0,87101.0,Thiago Duarte Peixoto,Flamengo,2.0,Internacional,0.0,,,,,,
52,2014,32,Estádio Jornalista Mário Filho,31984.0,87101.0,Wilton Sampaio,Flamengo,3.0,Chapecoense,0.0,,,,,,
53,2014,2,Estádio do Governo do Estado de Goiás,2090.0,50049.0,Renán Roberto de Souza,Goiás,1.0,Criciúma,0.0,,,,,,
54,2014,5,Estádio Municipal Radialista Mário Helênio,9737.0,31863.0,Ricardo Marques Ribeiro,Goiás,2.0,Botafogo,0.0,,,,,,
55,2014,8,Estádio do Governo do Estado de Goiás,4267.0,50049.0,Jean Pierre Goncalves Lima,Goiás,0.0,Vitória,0.0,,,,,,
56,2014,11,Estádio do Governo do Estado de Goiás,2430.0,50049.0,Péricles Bassols Pegado Cortez,Goiás,0.0,Sport Recife,0.0,,,,,,
57,2014,15,Estádio do Governo do Estado de Goiás,4256.0,50049.0,Emerson de Almeida Ferreira,Goiás,0.0,Internacional,1.0,,,,,,
58,2014,17,Estádio do Governo do Estado de Goiás,5163.0,50049.0,Franscisco Carlos do Nascimento,Goiás,0.0,Cruzeiro,1.0,,,,,,
59,2014,20,Estádio do Governo do Estado de Goiás,33278.0,50049.0,Ricardo Marques Ribeiro,Goiás,1.0,Flamengo,0.0,,,,,,
60,2014,22,Estádio do Governo do Estado de Goiás,3441.0,50049.0,Luiz Flávio de Oliveira,Goiás,2.0,Atlético-MG,3.0,,,,,,
61,2014,29,Estádio do Governo do Estado de Goiás,3044.0,50049.0,Marielson Alves Silva,Goiás,0.0,Grêmio,0.0,,,,,,
62,2014,32,Estádio do Governo do Estado de Goiás,3985.0,50049.0,Ricardo Marques Ribeiro,Goiás,0.0,Fluminense,2.0,,,,,,
63,2014,33,Estádio do Governo do Estado de Goiás,2187.0,50049.0,Raphael Claus,Goiás,3.0,Bahia,0.0,,,,,,
64,2014,35,Estádio Estadual Jornalista Edgar Augusto Proença,24431.0,50049.0,Leandro Pedro Vuaden,Goiás,0.0,Corinthians,1.0,,,,,,
