,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
0,2019,2,Estádio Rei Pelé,15735,20000,CSA,1,Palmeiras,1,Caio Max Augusto Vieira,,,,,,
1,2019,12,Estádio Rei Pelé,11918,20000,CSA,0,Grêmio,0,Caio Max Augusto Vieira,,,,,,
2,2019,14,Estádio Rei Pelé,9924,20000,CSA,0,Fortaleza,2,Gilberto Rodrigues Castro Junior,,,,,,
3,2019,16,Estádio Rei Pelé,8715,20000,CSA,1,Cruzeiro,1,Marcelo de Lima Henrique,,,,,,
4,2019,18,Estádio Rei Pelé,9311,20000,CSA,2,Chapecoense,0,Vinicius Gonçalves Dias Araujo,,,,,,
5,2019,20,Estádio Rei Pelé,10566,20000,CSA,1,Ceará SC,0,Ricardo Marques Ribeiro,,,,,,
6,2019,23,Estádio Rei Pelé,8346,20000,CSA,3,Avaí FC,1,Anderson Daronco,,,,,,
7,2019,24,Estádio Rei Pelé,9927,20000,CSA,1,Internacional,0,Vinicius Furlan,,,,,,
8,2019,26,Estádio Rei Pelé,13075,20000,CSA,2,Atlético-MG,2,Savio Pereira Sampaio,,,,,,
9,2019,29,Estádio Rei Pelé,15428,20000,CSA,2,Corinthians,1,Rafael Traci,,,,,,
10,2019,32,Estádio Rei Pelé,14690,20000,CSA,0,Vasco da Gama,3,Rodrigo D,,,,,,
11,2019,34,Estádio Rei Pelé,8916,20000,CSA,0,Fluminense,1,Luiz Flávio de Oliveira,,,,,,
12,2019,36,Estádio Rei Pelé,7371,20000,CSA,1,EC Bahia,2,Vinicius Furlan,,,,,,
13,2019,13,Arena do Grêmio,15171,60540,Grêmio,3,Chapecoense,3,Felipe Fernandes,,,,,,
14,2019,15,Arena do Grêmio,14777,60540,Grêmio,1,Palmeiras,1,Wagner do Nascimento Magalhães,,,,,,
15,2019,16,Arena do Grêmio,12748,60540,Grêmio,2,Athletico-PR,1,Bruno Arleu de Araújo,,,,,,
16,2019,19,Arena do Grêmio,41733,60540,Grêmio,3,Goiás EC,0,Savio Pereira Sampaio,,,,,,
17,2019,21,Arena do Grêmio,16910,60540,Grêmio,6,Avaí FC,1,Rodolpho Toski Marques,,,,,,
18,2019,23,Arena do Grêmio,16542,60540,Grêmio,0,Corinthians,0,Bruno Arleu de Araújo,,,,,,
19,2019,24,Estádio Francisco Stédile,7193,30000,Grêmio,2,Ceará SC,1,Edina Alves Batista,,,,,,
20,2019,28,Arena do Grêmio,9786,60540,Grêmio,3,Botafogo,0,Rafael Traci,,,,,,
21,2019,30,Arena do Grêmio,44376,60540,Grêmio,2,Internacional,0,Flavio Rodrigues de Souza,,,,,,
22,2019,31,Arena do Grêmio,13244,60540,Grêmio,2,CSA,1,Jose Mendonça,,,,,,
23,2019,36,Arena do Grêmio,24464,60540,Grêmio,3,São Paulo,0,Marcelo de Lima Henrique,,,,,,
24,2019,37,Arena do Grêmio,18306,60540,Grêmio,2,Cruzeiro,0,André Luiz de Freitas Castro,,,,,,
25,2019,13,Estádio Aderbal Ramos da Silva,7140,17800,Avaí FC,0,Botafogo,2,Vinicius Furlan,,,,,,
26,2019,14,Estádio Aderbal Ramos da Silva,4921,17800,Avaí FC,2,Cruzeiro,2,Marielson Alves Silva,,,,,,
27,2019,16,Estádio Aderbal Ramos da Silva,9753,17800,Avaí FC,1,Corinthians,1,Ricardo Marques Ribeiro,,,,,,
28,2019,18,Estádio Nacional de Brasília Mané Garrincha,47575,60000,Avaí FC,0,Flamengo,3,Edina Alves Batista,,,,,,
29,2019,20,Estádio Aderbal Ramos da Silva,7463,17800,Avaí FC,1,Atlético-MG,0,Caio Max Augusto Vieira,,,,,,
30,2019,22,Estádio Aderbal Ramos da Silva,7052,17800,Avaí FC,0,EC Bahia,2,Jean Pierre Goncalves Lima,,,,,,
31,2019,28,Estádio Aderbal Ramos da Silva,8815,17800,Avaí FC,1,Palmeiras,2,Wilton Sampaio,,,,,,
32,2019,29,Estádio Aderbal Ramos da Silva,2949,17800,Avaí FC,1,Fortaleza,3,Marcelo Aparecido Ribeiro de Souza,,,,,,
33,2019,31,Estádio Aderbal Ramos da Silva,4820,17800,Avaí FC,1,Santos FC,2,Marcelo de Lima Henrique,,,,,,
34,2019,36,Estádio Aderbal Ramos da Silva,3237,17800,Avaí FC,1,Fluminense,1,Daniel Nobre Bins,,,,,,
35,2019,38,Estádio Aderbal Ramos da Silva,2445,17800,Avaí FC,0,Athletico-PR,0,Dyorgines Jose Padovani,,,,,,
36,2019,14,Estádio Olímpico Nilton Santos,7992,46931,Botafogo,2,Athletico-PR,1,Douglas Marques Flores,,,,,,
37,2019,16,Estádio Olímpico Nilton Santos,8241,46931,Botafogo,0,Chapecoense,0,Edina Alves Batista,,,,,,
38,2019,18,Estádio Olímpico Nilton Santos,12098,46931,Botafogo,2,Atlético-MG,1,Braulio da Silva Machado,,,,,,
39,2019,20,Estádio Olímpico Nilton Santos,18471,46931,Botafogo,1,São Paulo,2,Jean Pierre Goncalves Lima,,,,,,
40,2019,23,Estádio Olímpico Nilton Santos,12404,46931,Botafogo,0,Fluminense,1,Rodolpho Toski Marques,,,,,,
41,2019,24,Estádio Olímpico Nilton Santos,5574,46931,Botafogo,3,Goiás EC,1,Rodrigo D,,,,,,
42,2019,27,Estádio Olímpico Nilton Santos,18199,46931,Botafogo,2,CSA,1,Leandro Pedro Vuaden,,,,,,
43,2019,29,Estádio Olímpico Nilton Santos,22412,46931,Botafogo,0,Cruzeiro,2,Caio Max Augusto Vieira,,,,,,
44,2019,36,Estádio Olímpico Nilton Santos,30596,46931,Botafogo,0,Internacional,1,Rodolpho Toski Marques,,,,,,
